category_label	category_name
100076	Allegro > Culture and Entertainment > Movies > DVDs > Anime
100079	Allegro > Culture and Entertainment > Movies > DVDs > Kids > Animation
100080	Allegro > Culture and Entertainment > Movies > DVDs > Kids > Fiction
100081	Allegro > Culture and Entertainment > Movies > DVDs > Kids > Other
100083	Allegro > Culture and Entertainment > Movies > DVDs > Documentary > Historical
100084	Allegro > Culture and Entertainment > Movies > DVDs > Documentary > Travel
100085	Allegro > Culture and Entertainment > Movies > DVDs > Documentary > Popular Science
100086	Allegro > Culture and Entertainment > Movies > DVDs > Documentary > Biographical
100087	Allegro > Culture and Entertainment > Movies > DVDs > Documentary > Other
100089	Allegro > Culture and Entertainment > Movies > DVDs > Drama > Polish
100090	Allegro > Culture and Entertainment > Movies > DVDs > Drama > Foreign
100091	Allegro > Culture and Entertainment > Movies > DVDs > Fantasy
100092	Allegro > Culture and Entertainment > Movies > DVDs > Horror
100094	Allegro > Culture and Entertainment > Movies > DVDs > Comedy > Polish
100095	Allegro > Culture and Entertainment > Movies > DVDs > Comedy > Foreign
100100	Allegro > Culture and Entertainment > Movies > DVDs > Concerts, Cabarets, Opera, Theater > Concerts > Rock
100102	Allegro > Culture and Entertainment > Movies > DVDs > Concerts, Cabarets, Opera, Theater > Concerts > Pop
100106	Allegro > Culture and Entertainment > Movies > DVDs > Concerts, Cabarets, Opera, Theater > Theatrical Performances
100108	Allegro > Culture and Entertainment > Movies > DVDs > Crime
100110	Allegro > Culture and Entertainment > Movies > DVDs > Courses, Workout, Karaoke > Workout, Dancing
100114	Allegro > Culture and Entertainment > Movies > DVDs > Musicals
100115	Allegro > Culture and Entertainment > Movies > DVDs > Adventure
100117	Allegro > Culture and Entertainment > Movies > DVDs > Science Fiction
100119	Allegro > Culture and Entertainment > Movies > DVDs > TV Series > Polish
100120	Allegro > Culture and Entertainment > Movies > DVDs > TV Series > Foreign
100121	Allegro > Culture and Entertainment > Movies > DVDs > Thriller
100123	Allegro > Culture and Entertainment > Movies > DVDs > Army
100124	Allegro > Culture and Entertainment > Movies > DVDs > Action
100125	Allegro > Culture and Entertainment > Movies > DVDs > Other
100128	Allegro > Culture and Entertainment > Gadgets > Posters, Photos
100129	Allegro > Culture and Entertainment > Gadgets > Mugs
100132	Allegro > Culture and Entertainment > Gadgets > Calendars
100136	Allegro > Culture and Entertainment > Gadgets > Other
100137	Allegro > Culture and Entertainment > Movies > DVDs > Sets, Bundles
101269	Allegro > Collections and Art > Handmade > Handmade Items > Clothes
101346	Allegro > Business and Services > Office and advertising > Office supplies > Utility knives
101347	Allegro > Business and Services > Office and advertising > Stationery > Accessories > Cartridges and inks
101348	Allegro > Business and Services > Office and advertising > Stationery > Accessories > Ink chambers
101350	Allegro > Business and Services > Office and advertising > Stationery > Pencils > Automatic
101351	Allegro > Business and Services > Office and advertising > Stationery > Pencils > Traditional
101352	Allegro > Business and Services > Office and advertising > Office equipment > Bill counters, sorters, testers
101354	Allegro > Business and Services > Office and advertising > Advertising > Ephemera (printing) > Projects
101356	Allegro > Business and Services > Office and advertising > Packing and shipping > Dispensers
101357	Allegro > Business and Services > Office and advertising > Office furniture > Desks
101549	Allegro > Home and Garden > Garden > Grilling > Smokehouses
10246	Allegro > Collections and Art > Collections > Postcards > Lower Silesia (Niederschlesien) > Kłodzko Valley (Glatz)
102877	Allegro > Sports and Travel > Travel > Travel Accessories > Pumps
102883	Allegro > Sports and Travel > Travel > Boats and Rafts > Other
102884	Allegro > Sports and Travel > Travel > Travel Accessories > Other
10532	Allegro > Electronics > Phones and Accessories > GSM Accessories > Protective Films and Glass
105332	Allegro > Home and Garden > Equipment > Bathroom Accessories > Toilet Seats
105334	Allegro > Home and Garden > Equipment > Bathroom Accessories > Soap Dispensers
105335	Allegro > Home and Garden > Equipment > Bathroom Accessories > Baskets and Containers for Laundry
105336	Allegro > Home and Garden > Equipment > Bathroom Accessories > Garbage Bins
105337	Allegro > Home and Garden > Equipment > Bathroom Accessories > Mirrors
105338	Allegro > Home and Garden > Equipment > Bathroom Accessories > Bowls and Basins
105339	Allegro > Home and Garden > Equipment > Bathroom Accessories > Soap Dishes
105340	Allegro > Home and Garden > Equipment > Bathroom Accessories > Bathroom Shelves
105342	Allegro > Home and Garden > Equipment > Bathroom Accessories > Hand Dryers
105343	Allegro > Home and Garden > Equipment > Bathroom Accessories > Paper Holders and Containers
105344	Allegro > Home and Garden > Equipment > Bathroom Accessories > Bathroom Scales
106447	Allegro > Home and Garden > Equipment > Bathroom Accessories > Bathroom Mugs and Containers
1068	Allegro > Collections and Art > Collections > Model Building > Other
10772	Allegro > Supermarket > Pet Supplies > Terrariums and Other > Other
10774	Allegro > Home and Garden > Lighting > Light Sources
10783	Allegro > Fashion > Clothing, Shoes, Accessories > Footwear > Women > Slippers
10785	Allegro > Beauty > Care > Face > Exfoliants and scrubs
10855	Allegro > Electronics > Computers > Network Devices > Bluetooth
110015	Allegro > Kids > Toys > Building Toys > LEGO > Sets > Ninjago
110020	Allegro > Home and Garden > Garden > Swimming Pools and Accessories > Pool Chemical Supplies
110021	Allegro > Home and Garden > Garden > Swimming Pools and Accessories > Covers, Films, Tarpaulin
110022	Allegro > Home and Garden > Garden > Swimming Pools and Accessories > Pumps and Filters
110023	Allegro > Home and Garden > Garden > Swimming Pools and Accessories > Other
110133	Allegro > Sports and Travel > Gym and Fitness > Fitness training > Treadmills
110135	Allegro > Sports and Travel > Gym and Fitness > Fitness training > Vibrating Massagers and Platforms
110136	Allegro > Sports and Travel > Gym and Fitness > Fitness training > Mats
110137	Allegro > Sports and Travel > Gym and Fitness > Fitness training > Weights
110138	Allegro > Sports and Travel > Gym and Fitness > Fitness training > Elliptical Trainers
110139	Allegro > Sports and Travel > Gym and Fitness > Fitness training > Exercise Balls
110140	Allegro > Sports and Travel > Gym and Fitness > Fitness training > Training Bikes
110142	Allegro > Sports and Travel > Gym and Fitness > Fitness training > Slimming Belts and Electrical Muscle Stimulators
110146	Allegro > Sports and Travel > Gym and Fitness > Strength training > Home Gym Stations
110147	Allegro > Sports and Travel > Gym and Fitness > Strength training > Bars and Rails
110148	Allegro > Sports and Travel > Gym and Fitness > Strength training > Dumbbells
110149	Allegro > Sports and Travel > Gym and Fitness > Strength training > Barbell Bars
110151	Allegro > Sports and Travel > Gym and Fitness > Strength training > Weights
110153	Allegro > Sports and Travel > Gym and Fitness > Strength training > Barbells
110154	Allegro > Sports and Travel > Gym and Fitness > Strength training > Bodybuilding Sets
110155	Allegro > Sports and Travel > Gym and Fitness > Wraps and Stabilizers
110156	Allegro > Sports and Travel > Gym and Fitness > Fitness training > Other
110157	Allegro > Sports and Travel > Gym and Fitness > Strength training > Other
110158	Allegro > Sports and Travel > Gym and Fitness > Fitness training > Hula-Hoop
110159	Allegro > Sports and Travel > Gym and Fitness > Fitness training > Skipping Ropes
110160	Allegro > Sports and Travel > Gym and Fitness > Fitness training > Expanders
110161	Allegro > Sports and Travel > Gym and Fitness > Fitness training > Training Bands and Resistance Bands
110164	Allegro > Sports and Travel > Bicycles and Accessories > Protectors
110166	Allegro > Sports and Travel > Bicycles and Accessories > Shoes
110167	Allegro > Sports and Travel > Bicycles and Accessories > Accessories > Bicycle Water Bottles
110168	Allegro > Sports and Travel > Bicycles and Accessories > Accessories > Water Bottle Holders
110171	Allegro > Sports and Travel > Bicycles and Accessories > Accessories > Bicycle Backpacks
110172	Allegro > Sports and Travel > Bicycles and Accessories > Clothes > Sweatshirts
110173	Allegro > Sports and Travel > Bicycles and Accessories > Clothes > Headgear
110174	Allegro > Sports and Travel > Bicycles and Accessories > Clothes > Sets
110175	Allegro > Sports and Travel > Bicycles and Accessories > Clothes > Jerseys
110178	Allegro > Sports and Travel > Bicycles and Accessories > Clothes > Socks
110179	Allegro > Sports and Travel > Bicycles and Accessories > Clothes > Shorts
110181	Allegro > Sports and Travel > Bicycles and Accessories > Clothes > Other
110182	Allegro > Sports and Travel > Bicycles and Accessories > Glasses
110183	Allegro > Home and Garden > Equipment > Bedding and Blankets > Mats and Mattress Protectors
110185	Allegro > Home and Garden > Equipment > Carpets and Rugs > Artificial Grass
110186	Allegro > Home and Garden > Equipment > Carpets and Rugs > Wiper Blades
110193	Allegro > Home and Garden > Tools > Measuring Instruments > Angle Irons and Protractors
110194	Allegro > Home and Garden > Tools > Measuring Instruments > Detectors
110195	Allegro > Home and Garden > Equipment > Saunas and Accessories
110196	Allegro > Home and Garden > Equipment > Chests and Boxes
110214	Allegro > Electronics > Audio, Video and Household Appliances > GPS and Accessories > Parts and Components
110237	Allegro > Business and Services > Industry > Wholesale Offers > Food service
110238	Allegro > Business and Services > Industry > Wholesale Offers > Wood industry
110240	Allegro > Business and Services > Industry > Wholesale Offers > Agriculture
110242	Allegro > Business and Services > Industry > Wholesale Offers > Other
110246	Allegro > Business and Services > Industry > Workwear and safety > Other
110249	Allegro > Business and Services > Industry > Workwear and safety > Health and Safety Materials > Other
110250	Allegro > Business and Services > Industry > Workwear and safety > Health and Safety Materials > Fire Safety Equipment
110251	Allegro > Business and Services > Industry > Workwear and safety > Health and Safety Materials > Warning signs
110252	Allegro > Business and Services > Industry > Workwear and safety > Personal Protective Equipment > Hearing protectors
110253	Allegro > Business and Services > Industry > Workwear and safety > Personal Protective Equipment > Helmets
110254	Allegro > Business and Services > Industry > Workwear and safety > Health and Safety Materials > First Aid Kits
110256	Allegro > Business and Services > Industry > Workwear and safety > Personal Protective Equipment > Face protection > Glasses and goggles
110257	Allegro > Business and Services > Industry > Workwear and safety > Personal Protective Equipment > Face protection > Masks
110258	Allegro > Business and Services > Industry > Workwear and safety > Clothing > Gloves
110259	Allegro > Business and Services > Industry > Workwear and safety > Clothing > Pants
110260	Allegro > Business and Services > Industry > Workwear and safety > Clothing > Swaetshirts and shirts
110261	Allegro > Business and Services > Industry > Workwear and safety > Clothing > Outerwear
110262	Allegro > Business and Services > Industry > Workwear and safety > Clothing > Overalls
110263	Allegro > Business and Services > Industry > Workwear and safety > Clothing > Aprons and pinafors
110264	Allegro > Business and Services > Industry > Workwear and safety > Clothing > Headgear
110265	Allegro > Business and Services > Industry > Workwear and safety > Clothing > Vests
110266	Allegro > Business and Services > Industry > Workwear and safety > Clothing > Other
110290	Allegro > Business and Services > Industry > Workwear and safety > Shoes
110673	Allegro > Electronics > Photography > Camera Power Supply > Sets
110674	Allegro > Electronics > Photography > Camera Power Supply > Power Supplies
110676	Allegro > Electronics > Photography > Camera Power Supply > Chargers
110679	Allegro > Electronics > Photography > Camera Power Supply > Rechargeable Batteries > Dedicated
11068	Allegro > Fashion > Clothing, Shoes, Accessories > Accessories > Umbrellas
110697	Allegro > Electronics > Photography > Flash > Accessories
110698	Allegro > Electronics > Photography > Flash > Devices
110773	Allegro > Fashion > Jewelry and Watches > Wedding Jewelry > Rings
110880	Allegro > Home and Garden > Equipment > Tableware > Other
110881	Allegro > Home and Garden > Equipment > Tableware > Jugs, Decanters and Milk Containers
110882	Allegro > Home and Garden > Equipment > Tableware > Confectioners
110883	Allegro > Home and Garden > Equipment > Tableware > Cups
110884	Allegro > Home and Garden > Equipment > Tableware > Teakettles
110885	Allegro > Home and Garden > Equipment > Tableware > Glasses and Cups
110886	Allegro > Home and Garden > Equipment > Tableware > Mugs
110887	Allegro > Home and Garden > Equipment > Tableware > Bowls
110888	Allegro > Home and Garden > Equipment > Tableware > Platters
110889	Allegro > Home and Garden > Equipment > Tableware > Salad Bowls and Serving Plates
110890	Allegro > Home and Garden > Equipment > Tableware > Dishwares
110895	Allegro > Home and Garden > Equipment > Tableware > Gravy and Dip Boats
110896	Allegro > Home and Garden > Equipment > Tableware > Glasses and Beer Mugs
110898	Allegro > Home and Garden > Equipment > Tableware > Cutlery > Knives
110899	Allegro > Home and Garden > Equipment > Tableware > Cutlery > Spoons
110900	Allegro > Home and Garden > Equipment > Tableware > Cutlery > Teaspoons
110901	Allegro > Home and Garden > Equipment > Tableware > Cutlery > Forks
110902	Allegro > Home and Garden > Equipment > Tableware > Cutlery > Cutlery Sets
110904	Allegro > Home and Garden > Equipment > Tableware > Plates
110907	Allegro > Home and Garden > Equipment > Decorations and Ornaments > Flower Stands
110908	Allegro > Home and Garden > Equipment > Decorations and Ornaments > Fridge Magnets
110910	Allegro > Home and Garden > Equipment > Decorations and Ornaments > Decorative Pendants
110911	Allegro > Home and Garden > Equipment > Decorations and Ornaments > Images and Paintings
110912	Allegro > Home and Garden > Equipment > Decorations and Ornaments > Posters
110913	Allegro > Home and Garden > Equipment > Decorations and Ornaments > Photo Frames
110914	Allegro > Home and Garden > Equipment > Decorations and Ornaments > Candleholders and Lanterns
110915	Allegro > Home and Garden > Equipment > Decorations and Ornaments > Vases
110916	Allegro > Home and Garden > Equipment > Kitchen Utensils > Baking Sheets and Baking Pans
110918	Allegro > Home and Garden > Equipment > Kitchen Utensils > Kitchen Accessories > Openers and Corkscrews
110919	Allegro > Home and Garden > Equipment > Kitchen Utensils > Kitchen Accessories > Whisks
110920	Allegro > Home and Garden > Equipment > Kitchen Utensils > Kitchen Accessories > Spatulas and Kitchen Spoons
110921	Allegro > Home and Garden > Equipment > Kitchen Utensils > Kitchen Accessories > Mashers
110922	Allegro > Home and Garden > Equipment > Kitchen Utensils > Kitchen Accessories > Graters and Slicers
110923	Allegro > Home and Garden > Equipment > Kitchen Utensils > Kitchen Accessories > Peelers and Pitters
110924	Allegro > Home and Garden > Equipment > Kitchen Utensils > Kitchen Accessories > Squeezers and Presses
110925	Allegro > Home and Garden > Equipment > Kitchen Utensils > Kitchen Accessories > Other
110926	Allegro > Home and Garden > Equipment > Kitchen Utensils > Teapots and Teakettles
110929	Allegro > Home and Garden > Equipment > Kitchen Utensils > Pots and Pans > Juicers
110930	Allegro > Home and Garden > Equipment > Kitchen Utensils > Pots and Pans > Pressure Cookers
110931	Allegro > Home and Garden > Equipment > Kitchen Utensils > Pots and Pans > Woks
110932	Allegro > Home and Garden > Equipment > Kitchen Utensils > Bowls
110933	Allegro > Home and Garden > Equipment > Kitchen Utensils > Kitchen Machines and Food Processors
110935	Allegro > Home and Garden > Equipment > Kitchen Utensils > Heat-Resistant Cookware
110936	Allegro > Home and Garden > Equipment > Kitchen Utensils > Kitchen Knives and Scissors > Knife Sharpeners
110938	Allegro > Home and Garden > Equipment > Kitchen Utensils > Salt Shakers and Pepper Shakers
110940	Allegro > Home and Garden > Equipment > Kitchen Utensils > Trays and Tables
110941	Allegro > Home and Garden > Equipment > Kitchen Utensils > Thermos Flasks and Insulated Tumblers
110942	Allegro > Home and Garden > Equipment > Kitchen Utensils > Thermometers and timers
110943	Allegro > Home and Garden > Equipment > Kitchen Utensils > Kitchen Scales and Scoops
110944	Allegro > Home and Garden > Equipment > Kitchen Utensils > French Presses and Percolators
110945	Allegro > Home and Garden > Equipment > Kitchen Utensils > Towels, Gloves and Aprons
110949	Allegro > Home and Garden > Equipment > Kitchen Utensils > Pots and Pans > Pots
110950	Allegro > Home and Garden > Equipment > Kitchen Utensils > Pots and Pans > Frying Pans
111074	Allegro > Supermarket > Groceries > Confectionery Decorations and Baking Products > Food Coloring
